ID,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
2565,Single Arm Kettlebell Overhead Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2566,Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Curtsy Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2567,Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2568,Single Arm Dumbbell Front Rack Ipsilateral Curtsy Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2569,Single Arm Dumbbell Suitcase Ipsilateral Curtsy Lunge,,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2570,Single Arm Dumbbell Overhead Ipsilateral Curtsy Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2571,Single Arm Clubbell Order Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2572,Single Arm Macebell Order Ipsilateral Curtsy Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Macebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding
2573,Single Arm Dumbbell Knee Supported Tricep Kickback,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii,,,Dumbbell,1.0,Bench (Flat),1,Knee Supported,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
2574,Double Dumbbell Incline Bench Prone Tricep Kickback,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii,,,Dumbbell,2.0,Bench (Incline),1,Prone,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
2575,Single Arm Cable Tricep Kickback,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii,,,Cable,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
2576,Single Arm Dumbbell Tricep Kickback,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Elbow Extension,,,Sagittal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
2577,Kettlebell Horn Grip Carry,Video Demonstration,,Beginner,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Walking,Double Arm,Continuous,Horn Grip,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
2578,Kettlebell Goblet Carry,,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Walking,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
2579,Dumbbell Goblet Carry,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Dumbbell,1.0,None,0,Walking,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
2580,Ring Pseudo Planche Push Up,Video Demonstration,Video Explanation,Expert,Chest,Pectoralis Major,Anterior Deltoids,,Gymnastic Rings,2.0,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
2581,Double Kettlebell Dead Snatch,,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2582,Single Arm Kettlebell Dead Half Snatch,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2583,Alternating Single Arm Kettlebell Dead Half Snatch,,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2584,Alternating Single Arm Kettlebell Start Stop Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2585,Single Arm Kettlebell Start Stop Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2586,Double Kettlebell Start Stop Snatch,,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2587,Single Arm Kettlebell Start Stop Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2588,Alternating Single Arm Kettlebell Start Stop Swing,Video Demonstration,,Novice,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2589,Double Kettlebell Start Stop Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2590,Suspension Rotational Row,,,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,Obliques,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Rotational,Horizontal Pull,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
2591,Suspension Skater Jump,Video Demonstration,,Intermediate,Abductors,Gluteus Medius,Adductor Magnus,,Suspension Trainer,1.0,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Plyometric
2592,Double Kettlebell Start Stop Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2593,Single Arm Kettlebell Start Stop Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2594,Alternating Single Arm Kettlebell Start Stop Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2595,Clubbell Staggered Stance Rotational Swing,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Gluteus Maximus,Clubbell,1.0,None,0,Staggered Stance,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
2596,Clubbell Staggered Stance Rotational Clean,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Gluteus Maximus,Clubbell,1.0,None,0,Staggered Stance,Double Arm,Continuous,Neutral,Order,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
2597,Clubbell Staggered Stance Rotational Clean to Forward Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Obliques,Gluteus Maximus,Clubbell,1.0,None,0,Staggered Stance,Double Arm,Continuous,Neutral,Order,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*
2598,Double Dumbbell Seated Shrug,Video Demonstration,Video Explanation,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,2.0,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
2599,Double Kettlebell Seated Shrug,,,Beginner,Trapezius,Upper Trapezius,,,Kettlebell,2.0,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
2600,Single Arm Landmine Split Snatch,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Gluteus Maximus,,Landmine,1.0,None,0,Staggered Stance,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
2601,Double Dumbbell Hang Power Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2602,Slider Alternating Reach Push Up,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Sliders,1.0,None,0,Prone,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
2603,Alternating Single Arm Landmine Z Press,,,Intermediate,Shoulders,Anterior Deltoids,,,Landmine,1.0,None,0,Seated Floor,Single Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
2604,Slider Kettlebell Goblet Lateral Lunge,,,Novice,Adductors,Adductor Magnus,,,Sliders,1.0,Kettlebell,1,Standing,Double Arm,Continuous,Goblet,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
2605,Slider Kneeling Alternating Reach Push Up,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,,Sliders,2.0,None,0,Kneeling,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
2606,Single Arm Landmine Split Clean,Video Demonstration,Video Explanation,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Obliques,Landmine,1.0,None,0,Staggered Stance,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
2607,Double Dumbbell Squat Clean,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2608,Double Dumbbell Hang Squat Clean,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2609,Single Arm Landmine Split Jerk,Video Demonstration,,Advanced,Shoulders,Anterior Deltoids,,,Landmine,1.0,None,0,Staggered Stance,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*
2610,Single Arm Kettlebell Ipsilateral Forward Lunge Snatch,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Anterior Deltoids,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Ipsilateral,Ballistics
2611,Clubbell Hammer Swing,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Anterior Deltoids,,Clubbell,1.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2612,Single Arm Clubbell Hammer Swing,,,Intermediate,Abdominals,Obliques,Anterior Deltoids,,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2613,Double Clubbell Hammer Swing,,,Intermediate,Abdominals,Obliques,Anterior Deltoids,,Clubbell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2614,Single Arm Clubbell Inside Pullover,,Video Explanation,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,No Elevation,Single Exercise,,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*
2615,Single Arm Clubbell Outside Pullover,,Video Explanation,Novice,Back,Latissimus Dorsi,Posterior Deltoids,Triceps Brachii,Clubbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Behind Back,No Elevation,Single Exercise,,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*
2616,Barbell Split Clean,Video Demonstration,Video Explanation,Expert,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Barbell,1.0,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Olympic Weightlifting 
2617,Double Dumbbell Hang Split Clean,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2.0,None,0,Staggered Stance,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2618,Barbell Reverse Grip Incline Push Up,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,,,Barbell,1.0,None,1,Prone,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
2619,Wall Ball Half Kneeling Lateral Toss,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,,Wall Ball,1.0,None,0,Half Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
2620,Wall Ball Split Squat Isometric Lateral Toss,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Quadriceps Femoris,Wall Ball,1.0,None,0,Split Squat Isometric,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,Isometric Hold,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
2621,Single Arm Dumbbell Shrug,Video Demonstration,Video Explanation,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
2622,Single Arm Dumbbell Tall Kneeling Shrug,,,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,1.0,None,0,Tall Kneeling,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
2623,Single Arm Dumbbell Seated Shrug,Video Demonstration,,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,1.0,Bench (Flat),1,Seated,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
2624,Single Arm Kettlebell Shrug,Video Demonstration,,Beginner,Trapezius ,Upper Trapezius,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
2625,Single Arm Kettlebell Tall Kneeling Shrug,,,Beginner,Trapezius,Upper Trapezius,,,Kettlebell,1.0,None,0,Tall Kneeling,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
2626,Single Arm Kettlebell Seated Shrug,Video Demonstration,,Beginner,Trapezius,Upper Trapezius,,,Kettlebell,1.0,Bench (Flat),1,Seated,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
2627,Single Arm Landmine Shrug,Video Demonstration,,Novice,Trapezius,Upper Trapezius,,,Landmine,1.0,None,1,Standing,Single Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
2628,Single Arm Kettlebell Half Kneeling Half Snatch,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2629,Bodyweight Wall Facing Handstand Push Up,Video Demonstration,Video Explanation,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1.0,None,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
2630,Double Kettlebell Outside Snatch,,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
2631,Single Arm Kettlebell Outside Half Snatch,,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2632,Single Arm Kettlebell Outside Snatch,,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
2633,Plate Seated Steering Wheel,,,Novice,Shoulders,Anterior Deltoids,,,Weight Plate,1.0,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Isometric Hold,Rotational,,Frontal Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Unsorted*
2634,Single Arm Macebell Bull Whip,,,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1.0,None,0,Staggered Stance,Single Arm,Continuous,Neutral,Behind Back,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
2635,Single Arm Macebell Bull Whip to Mill,Video Demonstration,Video Explanation,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1.0,None,0,Staggered Stance,Single Arm,Continuous,Neutral,Behind Back,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics
2636,Double Dumbbell Incline Bench Prone Shrug,Video Demonstration,Video Explanation,Beginner,Trapezius,Upper Trapezius,,,Dumbbell,2.0,Bench (Incline),1,Prone,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
